date,CPI_index
201301,93.41
201302,93.85
201303,92.5
201304,93.08
201305,93.25
201306,93.72
201307,93.58
201308,93.69
201309,94.92
201310,94.66
201311,93.98
201312,93.89
201401,94.18
201402,93.81
201403,93.99
201404,94.62
201405,94.76
201406,95.25
201407,95.22
201408,95.64
201409,95.59
201410,95.66
201411,94.78
201412,94.46
201501,93.3
201502,93.62
201503,93.41
201504,93.84
201505,94.07
201506,94.72
201507,94.62
201508,95.21
201509,95.87
201510,95.95
201511,95.29
201512,94.58
201601,94.05
201602,95.88
201603,95.29
201604,95.6
201605,95.23
201606,95.57
201607,95.79
201608,95.75
201609,96.19
201610,97.58
201611,97.17
201612,96.18
201701,96.16
201702,95.82
201703,95.46
201704,95.69
201705,95.8
201706,96.53
201707,96.53
201708,96.67
201709,96.66
201710,97.26
201711,97.5
201712,97.35
201801,97.02
201802,97.93
201803,96.98
201804,97.61
201805,97.48
201806,97.88
201807,98.22
201808,98.16
201809,98.32
201810,98.39
201811,97.78
201812,97.29
201901,97.19
201902,98.14
201903,97.52
201904,98.25
201905,98.39
201906,98.71
201907,98.6
201908,98.58
201909,98.73
201910,98.75
201911,98.35
201912,98.41
202001,99
202002,97.94
202003,97.5
202004,97.3
202005,97.2
202006,97.98
202007,98.1
202008,98.25
202009,98.16
202010,98.49
202011,98.44
202012,98.45
202101,98.81
202102,99.29
202103,98.69
202104,99.35
202105,99.58
202106,99.77
202107,99.97
202108,100.55
202109,100.71
202110,101
202111,101.24
202112,101.04
202201,101.61
202202,101.6
202203,101.92
202204,102.7
202205,102.96
202206,103.35
202207,103.32
202208,103.24
202209,103.49
202210,103.77
202211,103.62
202212,103.78
202301,104.71
202302,104.06
202303,104.32
202304,105.11
202305,105.04
202306,105.16
202307,105.26
202308,105.85
202309,106.52
202310,106.92
202311,106.62
202312,106.58
202401,106.59
202402,107.26
202403,106.56
202404,107.15
202405,107.38
202406,107.71
202407,107.92
202408,108.34
202409,108.46
202410,108.73
202411,108.84
202412,108.82
