date,GDP_index
201301,3670889
201302,3721253
201303,3877352
201304,4001234
201401,3864177
201402,3966585
201403,4137478
201404,4289807
201501,4215980
201501,4157711
201501,4286649
201501,4394740
201601,4318253
201602,4258596
201603,4393874
201604,4584545
201701,4386857
201702,4336020
201703,4577156
201704,4712354
201801,4484529
201802,4501842
201803,4621307
201804,4812361
201901,4576002
201902,4629762
201903,4774168
201904,4994165
202001,4735466
202002,4772375
202003,5103027
202004,5412884
202101,5296363
202102,5279560
202103,5388247
202104,5809121
202201,5647656
202202,5558046
202203,5718537
202204,5896191
202301,5489013
202302,5710934
202303,6016101
202304,6380686
202401,6111775
202402,6233160
202403,6434655
